NuméroCF,SpecimenID,SlideID,ScID,CO1,EF1,INFO
2077,QMOR54606.001,QMOR54606,G,non,non,Les_Deux
2064,QMOR54608.001,QMOR54608,G,non,non,Les_Deux
1557,QMOR54614.001,QMOR54614,G,non,non,Les_Deux
1570,QMOR54616.001,QMOR54616,G,non,non,Les_Deux
1530,QMOR54617.001,QMOR54617,G,non,non,Les_Deux
1581,QMOR54624.001,QMOR54624,G,non,non,Les_Deux
1487,QMOR54625.001,QMOR54625,G,non,non,Les_Deux
1516,QMOR54626.001,QMOR54626,G,non,non,Les_Deux
1546,QMOR54628.001,QMOR54628,G,non,non,Les_Deux
1554,QMOR54629.001,QMOR54629,G,non,non,Les_Deux
1490,QMOR54643.001,QMOR54643,G,non,non,Les_Deux
1563,QMOR54644.001,QMOR54644,G,non,non,Les_Deux
1556,QMOR54646.001,QMOR54646,G,non,non,Les_Deux
1525,QMOR54648.001,QMOR54648,G,non,non,Les_Deux
1507,QMOR54650.001,QMOR54650,G,non,non,Les_Deux
1539,QMOR54653.001,QMOR54653,G,non,non,Les_Deux
1366,QMOR54679.001,QMOR54679,G,non,non,Les_Deux
1163,QMOR55063.001,QMOR55063,G,non,non,Les_Deux
2060,QMOR55386.001,QMOR55386,G,non,non,Les_Deux
2015,QMOR55389.001,QMOR55389,G,non,non,Les_Deux
2008,QMOR55402.001,QMOR55402,G,non,non,Les_Deux
2002,QMOR55403.001,QMOR55403,G,non,non,Les_Deux
2062,QMOR55410.001,QMOR55410,G,non,non,Les_Deux
2053,QMOR55413.001,QMOR55413,G,non,non,Les_Deux
2009,QMOR55414.001,QMOR55414,G,non,non,Les_Deux
2010,QMOR55415.001,QMOR55415,G,non,non,Les_Deux
2011,QMOR55416.001,QMOR55416,G,non,non,Les_Deux
2012,QMOR55417.001,QMOR55417,G,non,non,Les_Deux
2013,QMOR55418.001,QMOR55418,G,non,non,Les_Deux
2018,QMOR55421.001,QMOR55421,G,non,non,Les_Deux
2019,QMOR55422.001,QMOR55422,G,non,non,Les_Deux
2020,QMOR55423.001,QMOR55423,G,non,non,Les_Deux
2028,QMOR55428.001,QMOR55428,G,non,non,Les_Deux
2029,QMOR55429.001,QMOR55429,G,non,non,Les_Deux
2030,QMOR55430.001,QMOR55430,G,non,non,Les_Deux
2703,QMOR55535.001,QMOR55535,G,non,non,Les_Deux
2704,QMOR55536.001,QMOR55536,G,non,non,Les_Deux
2706,QMOR55537.001,QMOR55537,G,non,non,Les_Deux
2091,QMOR55550.001,QMOR55550,G,non,non,Les_Deux
2117,QMOR55558.001,QMOR55558,G,non,non,Les_Deux
2113,QMOR55562.001,QMOR55562,G,non,non,Les_Deux
2157,QMOR55574.001,QMOR55574,G,non,non,Les_Deux
2158,QMOR55575.001,QMOR55575,G,non,non,Les_Deux
2159,QMOR55576.001,QMOR55576,G,non,non,Les_Deux
2050,QMOR55718.001,QMOR55718,G,non,non,Les_Deux
2063,QMOR55724.001,QMOR55724,G,non,non,Les_Deux
2065,QMOR55725.001,QMOR55725,G,non,non,Les_Deux
2068,QMOR55726.001,QMOR55726,G,non,non,Les_Deux
2074,QMOR55732.001,QMOR55732,G,non,non,Les_Deux
2076,QMOR55733.001,QMOR55733,G,non,non,Les_Deux
2078,QMOR55734.001,QMOR55734,G,non,non,Les_Deux
2079,QMOR55735.001,QMOR55735,G,non,non,Les_Deux
2080,QMOR55736.001,QMOR55736,G,non,non,Les_Deux
2081,QMOR55737.001,QMOR55737,G,non,non,Les_Deux
2083,QMOR55738.001,QMOR55738,G,non,non,Les_Deux
2084,QMOR55739.001,QMOR55739,G,non,non,Les_Deux
2085,QMOR55740.001,QMOR55740,G,non,non,Les_Deux
2087,QMOR55741.001,QMOR55741,G,non,non,Les_Deux
2089,QMOR55742.001,QMOR55742,G,non,non,Les_Deux
2092,QMOR55743.001,QMOR55743,G,non,non,Les_Deux
2093,QMOR55744.001,QMOR55744,G,non,non,Les_Deux
2094,QMOR55745.001,QMOR55745,G,non,non,Les_Deux
2097,QMOR55747.001,QMOR55747,G,non,non,Les_Deux
2100,QMOR55749.001,QMOR55749,G,non,non,Les_Deux
2107,QMOR55750.001,QMOR55750,G,non,non,Les_Deux
2108,QMOR55751.001,QMOR55751,G,non,non,Les_Deux
2110,QMOR55752.001,QMOR55752,G,non,non,Les_Deux
2111,QMOR55753.001,QMOR55753,G,non,non,Les_Deux
2112,QMOR55754.001,QMOR55754,G,non,non,Les_Deux
2114,QMOR55755.001,QMOR55755,G,non,non,Les_Deux
2115,QMOR55756.001,QMOR55756,G,non,non,Les_Deux
2116,QMOR55757.001,QMOR55757,G,non,non,Les_Deux
2038,QMOR55789.001,QMOR55789,G,non,non,Les_Deux
2039,QMOR55790.001,QMOR55790,G,non,non,Les_Deux
2047,QMOR55795.001,QMOR55795,G,non,non,Les_Deux
1630,QMOR55802.001,QMOR55802,G,non,non,Les_Deux
1631,QMOR55803.001,QMOR55803,G,non,non,Les_Deux
