NumCF	Lat	Lon	ColID
CF1482	38.9346	-92.3187	CF
CF1483	NA	NA	CF
CF1484	37.89	-93.62	CF
CF1485	37.89	-93.62	CF
CF1486	38.9463	-92.3283	CF
CF1487	38.9463	-92.3283	CF
CF1488	38.9463	-92.3283	CF
CF1489	38.9463	-92.3283	CF
CF1490	38.9463	-92.3283	CF
CF1491	38.9346	-92.3187	CF
CF1492	38.9346	-92.3187	CF
CF1493	38.9346	-92.3187	CF
CF1494	38.9346	-92.3187	CF
CF1495	38.9346	-92.3187	CF
CF1496	38.9346	-92.3187	CF
CF1497	38.9346	-92.3187	CF
CF1498	38.9346	-92.3187	CF
CF1499	38.9346	-92.3187	CF
CF1500	38.9463	-92.3283	CF
CF1501	38.9463	-92.3283	CF
CF1502	38.9463	-92.3283	CF
CF1503	38.9463	-92.3283	CF
CF1504	38.9463	-92.3283	CF
CF1505	38.9463	-92.3283	CF
CF1506	38.15	-91.24	CF
CF1507	38.15	-91.24	CF
CF1508	38.15	-91.24	CF
CF1509	38.15	-91.24	CF
CF1510	38.15	-91.24	CF
CF1511	37.89	-93.62	CF
CF1512	37.89	-93.62	CF
CF1513	37.89	-93.62	CF
CF1514	37.89	-93.62	CF
CF1515	37.89	-93.62	CF
CF1516	38.9463	-92.3283	CF
CF1517	38.9463	-92.3283	CF
CF1518	38.9463	-92.3283	CF
CF1519	38.9463	-92.3283	CF
CF1520	38.9463	-92.3283	CF
CF1521	37.89	-93.62	CF
CF1522	37.89	-93.62	CF
CF1523	37.89	-93.62	CF
CF1524	NA	NA	CF
CF1525	37.89	-93.62	CF
CF1526	37.89	-93.62	CF
CF1527	37.89	-93.62	CF
CF1528	37.89	-93.62	CF
CF1529	NA	NA	CF
CF1530	37.89	-93.62	CF
CF1531	37.89	-93.62	CF
CF1532	37.89	-93.62	CF
CF1533	NA	NA	CF
CF1534	37.89	-93.62	CF
CF1535	37.89	-93.62	CF
CF1536	37.89	-93.62	CF
CF1537	37.89	-93.62	CF
CF1538	37.89	-93.62	CF
CF1539	37.89	-93.62	CF
CF1540	38.9408	-92.3248	CF
CF1541	38.9408	-92.3248	CF
CF1542	NA	NA	CF
CF1543	37.89	-93.62	CF
CF1544	37.89	-93.62	CF
CF1545	38.15	-91.24	CF
CF1546	38.15	-91.24	CF
CF1547	38.15	-91.24	CF
CF1548	38.15	-91.24	CF
CF1549	38.15	-91.24	CF
CF1550	38.15	-91.24	CF
CF1551	38.15	-91.24	CF
CF1552	38.15	-91.24	CF
CF1553	38.15	-91.24	CF
CF1554	38.15	-91.24	CF
CF1555	38.15	-91.24	CF
CF1556	37.89	-93.62	CF
CF1557	37.89	-93.62	CF
CF1558	38.9408	-92.3248	CF
CF1559	38.9408	-92.3248	CF
CF1560	38.9408	-92.3248	CF
CF1561	38.9408	-92.3248	CF
CF1562	38.9408	-92.3248	CF
CF1563	37.89	-93.62	CF
CF1564	37.89	-93.62	CF
CF1565	37.89	-93.62	CF
CF1566	37.89	-93.62	CF
CF1567	37.89	-93.62	CF
CF1568	NA	NA	CF
CF1569	38.86	-92.31	CF
CF1570	38.86	-92.31	CF
CF1571	38.86	-92.31	CF
CF1572	38.86	-92.31	CF
CF1573	38.15	-91.24	CF
CF1574	38.15	-91.24	CF
CF1575	38.15	-91.24	CF
CF1576	38.15	-91.24	CF
CF1577	38.15	-91.24	CF
CF1578	38.15	-91.24	CF
CF1579	38.15	-91.24	CF
CF1580	38.15	-91.24	CF
CF1581	38.15	-91.24	CF
CF1582	38.86	-92.31	CF
CF1583	38.86	-92.31	CF
CF1614	37.89	-93.62	CF
CF1615	37.89	-93.62	CF
CF1616	37.89	-93.62	CF
CF1617	37.89	-93.62	CF
CF1618	37.89	-93.62	CF
CF1619	NA	NA	CF
CF1620	38.86	-92.31	CF
CF1621	38.86	-92.31	CF
CF1622	38.86	-92.31	CF
CF1623	38.86	-92.31	CF
CF1624	NA	NA	CF
CF1625	NA	NA	CF
CF1626	NA	NA	CF
CF1627	NA	NA	CF
CF1628	NA	NA	CF
CF1629	NA	NA	CF
CF1630	NA	NA	CF
CF1631	NA	NA	CF
CF1632	NA	NA	CF
CF2002	39.8938	-74.8844	CF
CF2003	39.8938	-74.8844	CF
CF2004	39.8938	-74.8844	CF
CF2005	39.8938	-74.8844	CF
CF2008	38.9089	-76.9643	CF
CF2009	38.9089	-76.9643	CF
CF2010	38.9089	-76.9643	CF
CF2011	38.9089	-76.9644	CF
CF2012	38.9089	-76.9644	CF
CF2013	38.9089	-76.9644	CF
CF2014	38.9089	-76.9644	CF
CF2015	38.9084	-76.9649	CF
CF2016	38.9095	-76.9648	CF
CF2017	38.9095	-76.9648	CF
CF2018	38.9095	-76.9648	CF
CF2019	38.9062	-76.97	CF
CF2020	38.9062	-76.97	CF
CF2021	39.0371	-76.8829	CF
CF2022	39.0371	-76.8829	CF
CF2023	39.0371	-76.8829	CF
CF2024	39.0371	-76.8829	CF
CF2025	39.0371	-76.8829	CF
CF2026	39.0371	-76.8829	CF
CF2027	39.0371	-76.8829	CF
CF2028	39.0338	-76.88	CF
CF2029	39.0338	-76.88	CF
CF2030	39.0338	-76.88	CF
CF2031	39.0338	-76.88	CF
CF2032	39.0338	-76.88	CF
CF2033	39.0366	-76.8716	CF
CF2034	39.0366	-76.8716	CF
CF2035	39.0366	-76.8716	CF
CF2036	39.0366	-76.8716	CF
CF2037	39.0366	-76.8716	CF
CF2038	39.0366	-76.8716	CF
CF2039	39.0366	-76.8716	CF
CF2040	39.0366	-76.8716	CF
CF2041	39.0366	-76.8716	CF
CF2042	39.0371	-76.8685	CF
CF2043	39.0371	-76.8685	CF
CF2044	39.0371	-76.8685	CF
CF2045	39.0371	-76.8685	CF
CF2046	NA	NA	CF
CF2047	39.0317	-76.8685	CF
CF2050	38.6171	-78.7071	CF
